needid,NeedTitle,Description,Agencyid,AgencyName,category,agencyaddress,agencycity,agencystate,agencyzip,phone,email
1353,Graduations,Help at a High School student graduation ceremony in Torrance,31452,Beagle Rescue Inc.,Education, P.O. Box 330 ,Torrance,CA  ,90507,555-123-1452,fake31452@email.com
1354,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Santa Monica",31349,Connections for Children,BasicNeeds,"2701 Ocean Park Blvd., Ste 253 ",Santa Monica,CA  ,90405,555-123-1349,fake31349@email.com
1355,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Santa Monica,31349,Connections for Children,BasicNeeds,"2701 Ocean Park Blvd., Ste 253 ",Santa Monica,CA  ,90405,555-123-1349,fake31349@email.com
1356,Donation sorting,Help Process Gifts for an Organization in Santa Monica,31349,Connections for Children,BasicNeeds,"2701 Ocean Park Blvd., Ste 253 ",Santa Monica,CA  ,90405,555-123-1349,fake31349@email.com
1357,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Santa Monica,31349,Connections for Children,BasicNeeds,"2701 Ocean Park Blvd., Ste 253 ",Santa Monica,CA  ,90405,555-123-1349,fake31349@email.com
1358,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Santa Monica,31349,Connections for Children,BasicNeeds,"2701 Ocean Park Blvd., Ste 253 ",Santa Monica,CA  ,90405,555-123-1349,fake31349@email.com
1359,Book/literacy fairs,Help organize a literary and book fair in Los Angeles,31247,Starlight Childrens Foundation-HQ,Education,2049 Century Park East Suite 4320,Los Angeles,CA  ,90067,555-123-1247,fake31247@email.com
1360,Career Days,Help organize a career day at an agency or school in Los Angeles,31247,Starlight Childrens Foundation-HQ,Education,2049 Century Park East Suite 4320,Los Angeles,CA  ,90067,555-123-1247,fake31247@email.com
1361,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Los Angeles,31247,Starlight Childrens Foundation-HQ,Education,2049 Century Park East Suite 4320,Los Angeles,CA  ,90067,555-123-1247,fake31247@email.com
1362,After-school homework help/tutoring,Tutor students after school in Los Angeles,31247,Starlight Childrens Foundation-HQ,Education,2049 Century Park East Suite 4320,Los Angeles,CA  ,90067,555-123-1247,fake31247@email.com
1363,Mentoring,Mentor a Teenager in Los Angeles,31247,Starlight Childrens Foundation-HQ,Education,2049 Century Park East Suite 4320,Los Angeles,CA  ,90067,555-123-1247,fake31247@email.com
1364,Graduations,Help at a High School student graduation ceremony in Los Angeles,31247,Starlight Childrens Foundation-HQ,Education,2049 Century Park East Suite 4320,Los Angeles,CA  ,90067,555-123-1247,fake31247@email.com
1365,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in San Pedro",31215,Boys & Girls Club of the Los Angeles Harbor,BasicNeeds,1200 South Cabrillo Avenue ,San Pedro,CA  ,90731,555-123-1215,fake31215@email.com
1366,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in San Pedro,31215,Boys & Girls Club of the Los Angeles Harbor,BasicNeeds,1200 South Cabrillo Avenue ,San Pedro,CA  ,90731,555-123-1215,fake31215@email.com
1367,Donation sorting,Help Process Gifts for an Organization in San Pedro,31215,Boys & Girls Club of the Los Angeles Harbor,BasicNeeds,1200 South Cabrillo Avenue ,San Pedro,CA  ,90731,555-123-1215,fake31215@email.com
1368,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in San Pedro,31215,Boys & Girls Club of the Los Angeles Harbor,BasicNeeds,1200 South Cabrillo Avenue ,San Pedro,CA  ,90731,555-123-1215,fake31215@email.com
1369,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in San Pedro,31215,Boys & Girls Club of the Los Angeles Harbor,BasicNeeds,1200 South Cabrillo Avenue ,San Pedro,CA  ,90731,555-123-1215,fake31215@email.com
1370,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Costa Mesa",31096,Save Our Youth,BasicNeeds,661 Hamilton Street ,Costa Mesa,CA  ,92627,555-123-1096,fake31096@email.com
1371,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Costa Mesa,31096,Save Our Youth,BasicNeeds,661 Hamilton Street ,Costa Mesa,CA  ,92627,555-123-1096,fake31096@email.com
1372,Donation sorting,Help Process Gifts for an Organization in Costa Mesa,31096,Save Our Youth,BasicNeeds,661 Hamilton Street ,Costa Mesa,CA  ,92627,555-123-1096,fake31096@email.com
1373,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Costa Mesa,31096,Save Our Youth,BasicNeeds,661 Hamilton Street ,Costa Mesa,CA  ,92627,555-123-1096,fake31096@email.com
1374,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Costa Mesa,31096,Save Our Youth,BasicNeeds,661 Hamilton Street ,Costa Mesa,CA  ,92627,555-123-1096,fake31096@email.com
1375,Book/literacy fairs,Help organize a literary and book fair in San Francisco,31087,Give2Asia,Education,"465 California Street, 9th Floor ",San Francisco,CA  ,94104,555-123-1087,fake31087@email.com
1376,Career Days,Help organize a career day at an agency or school in San Francisco,31087,Give2Asia,Education,"465 California Street, 9th Floor ",San Francisco,CA  ,94104,555-123-1087,fake31087@email.com
1377,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in San Francisco,31087,Give2Asia,Education,"465 California Street, 9th Floor ",San Francisco,CA  ,94104,555-123-1087,fake31087@email.com
1378,After-school homework help/tutoring,Tutor students after school in San Francisco,31087,Give2Asia,Education,"465 California Street, 9th Floor ",San Francisco,CA  ,94104,555-123-1087,fake31087@email.com
1379,Mentoring,Mentor a Teenager in San Francisco,31087,Give2Asia,Education,"465 California Street, 9th Floor ",San Francisco,CA  ,94104,555-123-1087,fake31087@email.com
1380,Graduations,Help at a High School student graduation ceremony in San Francisco,31087,Give2Asia,Education,"465 California Street, 9th Floor ",San Francisco,CA  ,94104,555-123-1087,fake31087@email.com
1381,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in El Cajon",30912,Christian Community Theatre,BasicNeeds,1545 Pioneer Way ,El Cajon,CA  ,92020,555-123-0912,fake30912@email.com
1382,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in El Cajon,30912,Christian Community Theatre,BasicNeeds,1545 Pioneer Way ,El Cajon,CA  ,92020,555-123-0912,fake30912@email.com
1383,Donation sorting,Help Process Gifts for an Organization in El Cajon,30912,Christian Community Theatre,BasicNeeds,1545 Pioneer Way ,El Cajon,CA  ,92020,555-123-0912,fake30912@email.com
1384,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in El Cajon,30912,Christian Community Theatre,BasicNeeds,1545 Pioneer Way ,El Cajon,CA  ,92020,555-123-0912,fake30912@email.com
1385,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in El Cajon,30912,Christian Community Theatre,BasicNeeds,1545 Pioneer Way ,El Cajon,CA  ,92020,555-123-0912,fake30912@email.com
1386,Book/literacy fairs,Help organize a literary and book fair in Upland,30868,Helping Out Pets Everyday,Education, P.O. Box 2005 ,Upland,CA  ,91785,555-123-0868,fake30868@email.com
1387,Career Days,Help organize a career day at an agency or school in Upland,30868,Helping Out Pets Everyday,Education, P.O. Box 2005 ,Upland,CA  ,91785,555-123-0868,fake30868@email.com
1388,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Upland,30868,Helping Out Pets Everyday,Education, P.O. Box 2005 ,Upland,CA  ,91785,555-123-0868,fake30868@email.com
1389,After-school homework help/tutoring,Tutor students after school in Upland,30868,Helping Out Pets Everyday,Education, P.O. Box 2005 ,Upland,CA  ,91785,555-123-0868,fake30868@email.com
1390,Mentoring,Mentor a Teenager in Upland,30868,Helping Out Pets Everyday,Education, P.O. Box 2005 ,Upland,CA  ,91785,555-123-0868,fake30868@email.com
1391,Graduations,Help at a High School student graduation ceremony in Upland,30868,Helping Out Pets Everyday,Education, P.O. Box 2005 ,Upland,CA  ,91785,555-123-0868,fake30868@email.com
1392,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Los Angeles         ",30821,Unived Ministry at the University of Southern California                                                                ,BasicNeeds,835 West 34th Street 103,Los Angeles         ,CA  ,90089,555-123-0821,fake30821@email.com
1393,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Los Angeles         ,30821,Unived Ministry at the University of Southern California                                                                ,BasicNeeds,835 West 34th Street 103,Los Angeles         ,CA  ,90089,555-123-0821,fake30821@email.com
1394,Donation sorting,Help Process Gifts for an Organization in Los Angeles         ,30821,Unived Ministry at the University of Southern California                                                                ,BasicNeeds,835 West 34th Street 103,Los Angeles         ,CA  ,90089,555-123-0821,fake30821@email.com
1395,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Los Angeles         ,30821,Unived Ministry at the University of Southern California                                                                ,BasicNeeds,835 West 34th Street 103,Los Angeles         ,CA  ,90089,555-123-0821,fake30821@email.com
1396,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Los Angeles         ,30821,Unived Ministry at the University of Southern California                                                                ,BasicNeeds,835 West 34th Street 103,Los Angeles         ,CA  ,90089,555-123-0821,fake30821@email.com
1397,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Los Angeles",30765,Autism Society of America Los Angeles,BasicNeeds,"8939 S. Sepulveda Blvd., Suite 110-788 ",Los Angeles,CA  ,90045,555-123-0765,fake30765@email.com
1398,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Los Angeles,30765,Autism Society of America Los Angeles,BasicNeeds,"8939 S. Sepulveda Blvd., Suite 110-788 ",Los Angeles,CA  ,90045,555-123-0765,fake30765@email.com
1399,Donation sorting,Help Process Gifts for an Organization in Los Angeles,30765,Autism Society of America Los Angeles,BasicNeeds,"8939 S. Sepulveda Blvd., Suite 110-788 ",Los Angeles,CA  ,90045,555-123-0765,fake30765@email.com
1400,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Los Angeles,30765,Autism Society of America Los Angeles,BasicNeeds,"8939 S. Sepulveda Blvd., Suite 110-788 ",Los Angeles,CA  ,90045,555-123-0765,fake30765@email.com
1401,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Los Angeles,30765,Autism Society of America Los Angeles,BasicNeeds,"8939 S. Sepulveda Blvd., Suite 110-788 ",Los Angeles,CA  ,90045,555-123-0765,fake30765@email.com
1402,Childcare,Help provide childcare at an agency serving families in poverty in San Diego           ,30705,High Tech High Foundation                                                                                               ,Income,2861 Womble Road ,San Diego           ,CA  ,92106,555-123-0705,fake30705@email.com
1403,Financial Literacy Workshops,Conduct financial literacy workshops to help educate struggling families in San Diego           ,30705,High Tech High Foundation                                                                                               ,Income,2861 Womble Road ,San Diego           ,CA  ,92106,555-123-0705,fake30705@email.com
1404,Computer Literacy Workshops,Teach people in under-served communities basic computer literacy in San Diego           ,30705,High Tech High Foundation                                                                                               ,Income,2861 Womble Road ,San Diego           ,CA  ,92106,555-123-0705,fake30705@email.com
1405,Job Interview/Resume Workshops,Help the unemployed prepared for a job interview in San Diego           ,30705,High Tech High Foundation                                                                                               ,Income,2861 Womble Road ,San Diego           ,CA  ,92106,555-123-0705,fake30705@email.com
1406,Earned Income Tax Credit (EITC) a.k.a. Volunteer Income Tax Assistance (VITA),Help poor families prepare their tax forms for EITC in San Diego           ,30705,High Tech High Foundation                                                                                               ,Income,2861 Womble Road ,San Diego           ,CA  ,92106,555-123-0705,fake30705@email.com
1407,Life Skills Class Facilitation,Help poor families and individuals acquire the life-skills they need to succeed. in San Diego           ,30705,High Tech High Foundation                                                                                               ,Income,2861 Womble Road ,San Diego           ,CA  ,92106,555-123-0705,fake30705@email.com
1408,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Compton",30703,Peace 4 Kids,BasicNeeds,"1315 North Bullis Road, Suite #6",Compton,CA  ,90221,555-123-0703,fake30703@email.com
1409,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Compton,30703,Peace 4 Kids,BasicNeeds,"1315 North Bullis Road, Suite #6",Compton,CA  ,90221,555-123-0703,fake30703@email.com
1410,Donation sorting,Help Process Gifts for an Organization in Compton,30703,Peace 4 Kids,BasicNeeds,"1315 North Bullis Road, Suite #6",Compton,CA  ,90221,555-123-0703,fake30703@email.com
1411,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Compton,30703,Peace 4 Kids,BasicNeeds,"1315 North Bullis Road, Suite #6",Compton,CA  ,90221,555-123-0703,fake30703@email.com
1412,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Compton,30703,Peace 4 Kids,BasicNeeds,"1315 North Bullis Road, Suite #6",Compton,CA  ,90221,555-123-0703,fake30703@email.com
1413,Childcare,Help provide childcare at an agency serving families in poverty in Downey,30677,Desert Reign Assembly of God,Income,11610 Lakewood Blvd. ,Downey,CA  ,90241,555-123-0677,fake30677@email.com
1414,Financial Literacy Workshops,Conduct financial literacy workshops to help educate struggling families in Downey,30677,Desert Reign Assembly of God,Income,11610 Lakewood Blvd. ,Downey,CA  ,90241,555-123-0677,fake30677@email.com
1415,Computer Literacy Workshops,Teach people in under-served communities basic computer literacy in Downey,30677,Desert Reign Assembly of God,Income,11610 Lakewood Blvd. ,Downey,CA  ,90241,555-123-0677,fake30677@email.com
1416,Job Interview/Resume Workshops,Help the unemployed prepared for a job interview in Downey,30677,Desert Reign Assembly of God,Income,11610 Lakewood Blvd. ,Downey,CA  ,90241,555-123-0677,fake30677@email.com
1417,Earned Income Tax Credit (EITC) a.k.a. Volunteer Income Tax Assistance (VITA),Help poor families prepare their tax forms for EITC in Downey,30677,Desert Reign Assembly of God,Income,11610 Lakewood Blvd. ,Downey,CA  ,90241,555-123-0677,fake30677@email.com
1418,Life Skills Class Facilitation,Help poor families and individuals acquire the life-skills they need to succeed. in Downey,30677,Desert Reign Assembly of God,Income,11610 Lakewood Blvd. ,Downey,CA  ,90241,555-123-0677,fake30677@email.com
1419,Book/literacy fairs,Help organize a literary and book fair in Signal Hill,30649,Food Finders Inc.,Education,2301 East 28th Street Suite 303,Signal Hill,CA  ,90755,555-123-0649,fake30649@email.com
1420,Career Days,Help organize a career day at an agency or school in Signal Hill,30649,Food Finders Inc.,Education,2301 East 28th Street Suite 303,Signal Hill,CA  ,90755,555-123-0649,fake30649@email.com
1421,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Signal Hill,30649,Food Finders Inc.,Education,2301 East 28th Street Suite 303,Signal Hill,CA  ,90755,555-123-0649,fake30649@email.com
1422,After-school homework help/tutoring,Tutor students after school in Signal Hill,30649,Food Finders Inc.,Education,2301 East 28th Street Suite 303,Signal Hill,CA  ,90755,555-123-0649,fake30649@email.com
1423,Mentoring,Mentor a Teenager in Signal Hill,30649,Food Finders Inc.,Education,2301 East 28th Street Suite 303,Signal Hill,CA  ,90755,555-123-0649,fake30649@email.com
1424,Graduations,Help at a High School student graduation ceremony in Signal Hill,30649,Food Finders Inc.,Education,2301 East 28th Street Suite 303,Signal Hill,CA  ,90755,555-123-0649,fake30649@email.com
1425,Book/literacy fairs,Help organize a literary and book fair in Huntington Beach    ,30633,Presbyterian Church USA,Education,20112 Magnolia Street ,Huntington Beach    ,CA  ,92646,555-123-0633,fake30633@email.com
1426,Career Days,Help organize a career day at an agency or school in Huntington Beach    ,30633,Presbyterian Church USA,Education,20112 Magnolia Street ,Huntington Beach    ,CA  ,92646,555-123-0633,fake30633@email.com
1427,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Huntington Beach    ,30633,Presbyterian Church USA,Education,20112 Magnolia Street ,Huntington Beach    ,CA  ,92646,555-123-0633,fake30633@email.com
1428,After-school homework help/tutoring,Tutor students after school in Huntington Beach    ,30633,Presbyterian Church USA,Education,20112 Magnolia Street ,Huntington Beach    ,CA  ,92646,555-123-0633,fake30633@email.com
1429,Mentoring,Mentor a Teenager in Huntington Beach    ,30633,Presbyterian Church USA,Education,20112 Magnolia Street ,Huntington Beach    ,CA  ,92646,555-123-0633,fake30633@email.com
1430,Graduations,Help at a High School student graduation ceremony in Huntington Beach    ,30633,Presbyterian Church USA,Education,20112 Magnolia Street ,Huntington Beach    ,CA  ,92646,555-123-0633,fake30633@email.com
1431,Book/literacy fairs,Help organize a literary and book fair in Yucaipa             ,30605,Yucaipa Valley Animal Placement Society                                                                                 ,Education, P.O. Box 199 ,Yucaipa             ,CA  ,92399,555-123-0605,fake30605@email.com
1432,Career Days,Help organize a career day at an agency or school in Yucaipa             ,30605,Yucaipa Valley Animal Placement Society                                                                                 ,Education, P.O. Box 199 ,Yucaipa             ,CA  ,92399,555-123-0605,fake30605@email.com
1433,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Yucaipa             ,30605,Yucaipa Valley Animal Placement Society                                                                                 ,Education, P.O. Box 199 ,Yucaipa             ,CA  ,92399,555-123-0605,fake30605@email.com
1434,After-school homework help/tutoring,Tutor students after school in Yucaipa             ,30605,Yucaipa Valley Animal Placement Society                                                                                 ,Education, P.O. Box 199 ,Yucaipa             ,CA  ,92399,555-123-0605,fake30605@email.com
1435,Mentoring,Mentor a Teenager in Yucaipa             ,30605,Yucaipa Valley Animal Placement Society                                                                                 ,Education, P.O. Box 199 ,Yucaipa             ,CA  ,92399,555-123-0605,fake30605@email.com
1436,Graduations,Help at a High School student graduation ceremony in Yucaipa             ,30605,Yucaipa Valley Animal Placement Society                                                                                 ,Education, P.O. Box 199 ,Yucaipa             ,CA  ,92399,555-123-0605,fake30605@email.com
1437,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Palmdale            ",30600,Foundation to Improve Renal Nutrition                                                                                   ,BasicNeeds,40265 Springpark Lane ,Palmdale            ,CA  ,93551,555-123-0600,fake30600@email.com
1438,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Palmdale            ,30600,Foundation to Improve Renal Nutrition                                                                                   ,BasicNeeds,40265 Springpark Lane ,Palmdale            ,CA  ,93551,555-123-0600,fake30600@email.com
1439,Donation sorting,Help Process Gifts for an Organization in Palmdale            ,30600,Foundation to Improve Renal Nutrition                                                                                   ,BasicNeeds,40265 Springpark Lane ,Palmdale            ,CA  ,93551,555-123-0600,fake30600@email.com
1440,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Palmdale            ,30600,Foundation to Improve Renal Nutrition                                                                                   ,BasicNeeds,40265 Springpark Lane ,Palmdale            ,CA  ,93551,555-123-0600,fake30600@email.com
1441,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Palmdale            ,30600,Foundation to Improve Renal Nutrition                                                                                   ,BasicNeeds,40265 Springpark Lane ,Palmdale            ,CA  ,93551,555-123-0600,fake30600@email.com
1442,Book/literacy fairs,Help organize a literary and book fair in Valyermo            ,30590,St Andrews Abbey Inc                                                                                                    ,Education,31001 North Valyermo Road ,Valyermo            ,CA  ,93563,555-123-0590,fake30590@email.com
1443,Career Days,Help organize a career day at an agency or school in Valyermo            ,30590,St Andrews Abbey Inc                                                                                                    ,Education,31001 North Valyermo Road ,Valyermo            ,CA  ,93563,555-123-0590,fake30590@email.com
1444,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Valyermo            ,30590,St Andrews Abbey Inc                                                                                                    ,Education,31001 North Valyermo Road ,Valyermo            ,CA  ,93563,555-123-0590,fake30590@email.com
1445,After-school homework help/tutoring,Tutor students after school in Valyermo            ,30590,St Andrews Abbey Inc                                                                                                    ,Education,31001 North Valyermo Road ,Valyermo            ,CA  ,93563,555-123-0590,fake30590@email.com
1446,Mentoring,Mentor a Teenager in Valyermo            ,30590,St Andrews Abbey Inc                                                                                                    ,Education,31001 North Valyermo Road ,Valyermo            ,CA  ,93563,555-123-0590,fake30590@email.com
1447,Graduations,Help at a High School student graduation ceremony in Valyermo            ,30590,St Andrews Abbey Inc                                                                                                    ,Education,31001 North Valyermo Road ,Valyermo            ,CA  ,93563,555-123-0590,fake30590@email.com
1448,Book/literacy fairs,Help organize a literary and book fair in San Bernardino,30587,Humane Society of San Bernardino Valley,Education,374 W. Orange Show Road ,San Bernardino,CA  ,92408,555-123-0587,fake30587@email.com
1449,Career Days,Help organize a career day at an agency or school in San Bernardino,30587,Humane Society of San Bernardino Valley,Education,374 W. Orange Show Road ,San Bernardino,CA  ,92408,555-123-0587,fake30587@email.com
1450,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in San Bernardino,30587,Humane Society of San Bernardino Valley,Education,374 W. Orange Show Road ,San Bernardino,CA  ,92408,555-123-0587,fake30587@email.com
1451,After-school homework help/tutoring,Tutor students after school in San Bernardino,30587,Humane Society of San Bernardino Valley,Education,374 W. Orange Show Road ,San Bernardino,CA  ,92408,555-123-0587,fake30587@email.com
1452,Mentoring,Mentor a Teenager in San Bernardino,30587,Humane Society of San Bernardino Valley,Education,374 W. Orange Show Road ,San Bernardino,CA  ,92408,555-123-0587,fake30587@email.com
1453,Graduations,Help at a High School student graduation ceremony in San Bernardino,30587,Humane Society of San Bernardino Valley,Education,374 W. Orange Show Road ,San Bernardino,CA  ,92408,555-123-0587,fake30587@email.com
1454,Book/literacy fairs,Help organize a literary and book fair in Moreno Valley,30560,Living Way Christian Fellowship,Education, P. O. Box 7434 ,Moreno Valley,CA  ,92552,555-123-0560,fake30560@email.com
1455,Career Days,Help organize a career day at an agency or school in Moreno Valley,30560,Living Way Christian Fellowship,Education, P. O. Box 7434 ,Moreno Valley,CA  ,92552,555-123-0560,fake30560@email.com
1456,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Moreno Valley,30560,Living Way Christian Fellowship,Education, P. O. Box 7434 ,Moreno Valley,CA  ,92552,555-123-0560,fake30560@email.com
1457,After-school homework help/tutoring,Tutor students after school in Moreno Valley,30560,Living Way Christian Fellowship,Education, P. O. Box 7434 ,Moreno Valley,CA  ,92552,555-123-0560,fake30560@email.com
1458,Mentoring,Mentor a Teenager in Moreno Valley,30560,Living Way Christian Fellowship,Education, P. O. Box 7434 ,Moreno Valley,CA  ,92552,555-123-0560,fake30560@email.com
1459,Graduations,Help at a High School student graduation ceremony in Moreno Valley,30560,Living Way Christian Fellowship,Education, P. O. Box 7434 ,Moreno Valley,CA  ,92552,555-123-0560,fake30560@email.com
1460,Childcare,Help provide childcare at an agency serving families in poverty in Downey              ,30555,Los Angeles County Education Foundation                                                                                 ,Income,9300 Imperial Hwy ,Downey              ,CA  ,90242,555-123-0555,fake30555@email.com
1461,Financial Literacy Workshops,Conduct financial literacy workshops to help educate struggling families in Downey              ,30555,Los Angeles County Education Foundation                                                                                 ,Income,9300 Imperial Hwy ,Downey              ,CA  ,90242,555-123-0555,fake30555@email.com
1462,Computer Literacy Workshops,Teach people in under-served communities basic computer literacy in Downey              ,30555,Los Angeles County Education Foundation                                                                                 ,Income,9300 Imperial Hwy ,Downey              ,CA  ,90242,555-123-0555,fake30555@email.com
1463,Job Interview/Resume Workshops,Help the unemployed prepared for a job interview in Downey              ,30555,Los Angeles County Education Foundation                                                                                 ,Income,9300 Imperial Hwy ,Downey              ,CA  ,90242,555-123-0555,fake30555@email.com
1464,Earned Income Tax Credit (EITC) a.k.a. Volunteer Income Tax Assistance (VITA),Help poor families prepare their tax forms for EITC in Downey              ,30555,Los Angeles County Education Foundation                                                                                 ,Income,9300 Imperial Hwy ,Downey              ,CA  ,90242,555-123-0555,fake30555@email.com
1465,Life Skills Class Facilitation,Help poor families and individuals acquire the life-skills they need to succeed. in Downey              ,30555,Los Angeles County Education Foundation                                                                                 ,Income,9300 Imperial Hwy ,Downey              ,CA  ,90242,555-123-0555,fake30555@email.com
1466,Book/literacy fairs,Help organize a literary and book fair in Los Angeles         ,30528,Lincoln Family Life Center,Education,4126 South Arlington Avenue ,Los Angeles         ,CA  ,90008,555-123-0528,fake30528@email.com
1467,Career Days,Help organize a career day at an agency or school in Los Angeles         ,30528,Lincoln Family Life Center,Education,4126 South Arlington Avenue ,Los Angeles         ,CA  ,90008,555-123-0528,fake30528@email.com
1468,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Los Angeles         ,30528,Lincoln Family Life Center,Education,4126 South Arlington Avenue ,Los Angeles         ,CA  ,90008,555-123-0528,fake30528@email.com
1469,After-school homework help/tutoring,Tutor students after school in Los Angeles         ,30528,Lincoln Family Life Center,Education,4126 South Arlington Avenue ,Los Angeles         ,CA  ,90008,555-123-0528,fake30528@email.com
1470,Mentoring,Mentor a Teenager in Los Angeles         ,30528,Lincoln Family Life Center,Education,4126 South Arlington Avenue ,Los Angeles         ,CA  ,90008,555-123-0528,fake30528@email.com
1471,Graduations,Help at a High School student graduation ceremony in Los Angeles         ,30528,Lincoln Family Life Center,Education,4126 South Arlington Avenue ,Los Angeles         ,CA  ,90008,555-123-0528,fake30528@email.com
1472,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Descanso            ",30494,Camp Oliver                                                                                                             ,BasicNeeds, P.O. Box 206 ,Descanso            ,CA  ,91916,555-123-0494,fake30494@email.com
1473,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Descanso            ,30494,Camp Oliver                                                                                                             ,BasicNeeds, P.O. Box 206 ,Descanso            ,CA  ,91916,555-123-0494,fake30494@email.com
1474,Donation sorting,Help Process Gifts for an Organization in Descanso            ,30494,Camp Oliver                                                                                                             ,BasicNeeds, P.O. Box 206 ,Descanso            ,CA  ,91916,555-123-0494,fake30494@email.com
1475,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Descanso            ,30494,Camp Oliver                                                                                                             ,BasicNeeds, P.O. Box 206 ,Descanso            ,CA  ,91916,555-123-0494,fake30494@email.com
1476,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Descanso            ,30494,Camp Oliver                                                                                                             ,BasicNeeds, P.O. Box 206 ,Descanso            ,CA  ,91916,555-123-0494,fake30494@email.com
1477,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Los Angeles         ",30490,Silverlake Childrens Theatre Group                                                                                      ,BasicNeeds,904 Mayo Street ,Los Angeles         ,CA  ,90042,555-123-0490,fake30490@email.com
1478,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Los Angeles         ,30490,Silverlake Childrens Theatre Group                                                                                      ,BasicNeeds,904 Mayo Street ,Los Angeles         ,CA  ,90042,555-123-0490,fake30490@email.com
1479,Donation sorting,Help Process Gifts for an Organization in Los Angeles         ,30490,Silverlake Childrens Theatre Group                                                                                      ,BasicNeeds,904 Mayo Street ,Los Angeles         ,CA  ,90042,555-123-0490,fake30490@email.com
1480,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Los Angeles         ,30490,Silverlake Childrens Theatre Group                                                                                      ,BasicNeeds,904 Mayo Street ,Los Angeles         ,CA  ,90042,555-123-0490,fake30490@email.com
